-3.00	0.00	-3.00	0.00	-3.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00
0.22	0.00	0.33	0.00	0.00	0.00
0.45	0.05	0.47	0.07	0.00	0.00
0.50	0.10	0.53	0.15	0.00	0.00
0.53	0.15	0.59	0.25	0.00	0.00
0.61	0.29	0.64	0.37	0.00	0.00
0.75	0.60	0.72	0.54	0.00	0.00
0.86	0.91	0.80	0.76	0.00	0.00
0.96	1.16	0.87	0.92	0.00	0.00
1.06	1.43	1.00	1.27	0.00	0.00
1.24	1.93	1.11	1.56	0.00	0.00
1.53	2.76	1.22	1.88	0.00	0.00
1.70	3.27	1.73	3.35	0.00	0.00
1.97	4.08	1.93	3.97	0.00	0.00
2.19	4.76	2.23	4.86	0.00	0.00
2.62	6.04	2.61	6.00	0.00	0.00
3.00	7.19	3.00	7.18	3.00	0.00

